tenant_id,no_tenant_baru,nama_tenant,booth,qr_url
T01,1,Anakan Bangsawan,TMD-01,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T01
T02,2,Kriusta,TMD-02,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T02
T03,3,Nusa Sehat,TMD-03,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T03
T04,4,Baico Coffe,TMD-04,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T04
T05,5,UbiGo,TMD-05,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T05
T06,6,AesKey Group,TMD-06,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T06
T07,7,Fruit Club,TMD-07,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T07
T08,8,Munchcupp,TMD-08,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T08
T09,9,Blissfullbites,TMD-09,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T09
T10,10,Twin Cup,TMD-10,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T10
T11,11,Samles Gank,TMD-11,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T11
T12,12,Mandi Saos,TMD-12,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T12
T13,13,Cozydorm Candle,TMD-13,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T13
T14,14,Dulce lab,TMD-14,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T14
T15,15,Seraya,TMD-15,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T15
T16,16,BMC (Bakol Minuman Cemilan),TMD-16,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T16
T17,17,NachoNyam,TMD-17,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T17
T18,18,Kuwutism,TMD-18,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T18
T19,19,Juicy Nourish,TMD-19,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T19
T20,20,PencariCuan,TMD-20,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T20
T21,21,Shell4ne,TMD-21,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T21
T22,22,Kopi Mabar (Mata Melebar),TMD-22,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T22
T23,23,Karry,TMD-23,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T23
T24,24,Skripsick,TMD-24,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T24
T25,25,Ngidam.in,TMD-25,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T25
T26,26,Karavella Dessert,TMD-26,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T26
T27,27,Cilembut,TMD-27,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T27
T28,28,Makanan Gaul,TMD-28,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T28
T29,29,Pawly Glitch,TMD-29,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T29
T30,30,Legend Time,TMD-30,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T30
T31,31,Oscuro Team's,TMD-31,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T31
T32,32,Charmfy,TMD-32,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T32
T33,33,Pekerja Serabutan,TMD-33,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T33
T34,34,MOOD MAKER,TMD-34,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T34
T35,35,Tropica Nusantara,TMD-35,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T35
T36,36,Teknik Komputer,TMD-36,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T36
T37,37,Teknik Industri,TMD-37,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T37
T38,38,Informatika,TMD-38,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T38
T39,39,Sains Data,TMD-39,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T39
T40,40,Teknik Logistik,TMD-40,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T40
T41,41,Teknik Telekomunikasi,TMD-41,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T41
T42,42,Teknologi Informasi,TMD-42,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T42
T43,43,Teknik Elektro,TMD-43,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T43
T44,44,Sistem Informasi,TMD-44,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T44
T45,45,Rekayasa Perangkat Lunak,TMD-45,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T45
T46,46,Bisnis Digital,TMD-46,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T46
T47,47,CoE Circlest,TMD-47,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T47
T48,48,CoE Moshee,TMD-48,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T48
T49,49,CoE Interest,TMD-49,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T49
T50,50,Laguna Group,TMD-50,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T50
T51,51,WichWay,TMD-51,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T51
T52,52,JusMine,TMD-52,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T52
T53,53,BS Project,TMD-53,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T53
T54,54,ChipChup,TMD-54,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T54
T55,55,Papan Tulis,TMD-55,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T55
T56,56,Stack It Up!,TMD-56,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T56
T57,57,Djawa Methal,TMD-57,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T57
T58,58,Sumber Rejeki,TMD-58,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T58
T59,59,De Gosi,TMD-59,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T59
T60,60,Treat Yo' Self!,TMD-60,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T60
T61,61,Bumo Rollin,TMD-61,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T61
T62,62,Qoe.garage,TMD-62,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T62
T63,63,Sweet Purple,TMD-63,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T63
T64,64,Furab (Fushion Ubi Rasa Baru),TMD-64,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T64
T65,65,BlindKey,TMD-65,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T65
